date,events,connections,unique_ips,login_failed,login_success
2026-01-01,2003,395,17,363,13
2026-01-02,16172,2615,84,1743,766
2026-01-03,6563,1138,77,800,240
2026-01-04,14313,2451,84,1982,355
2026-01-05,21460,3033,102,2045,675
2026-01-06,20641,3683,96,3161,438
2026-01-07,21830,3976,108,3496,401
2026-01-08,10864,1756,111,1269,385
2026-01-09,11036,1939,91,1696,220
2026-01-10,9838,1594,93,1113,333
2026-01-11,47818,9095,116,8469,499
2026-01-12,73131,9841,102,3115,6463
2026-01-13,5364,968,83,834,112
2026-01-14,12790,2302,80,1949,282
